pos_ret,neg_ret,sep,case,input,result,result_emojis,model_input,expected,actual
False,True,a question mark,uppercase,aab-cbbbc,p,✅,input/joined_seq/40.txt,,
False,True,a question mark,uppercase,AAB-CBBC,p,✅,input/joined_seq/40.txt,,
False,True,a question mark,lowercase,aab_cbbbc,p,✅,input/joined_seq/41.txt,,
False,True,a question mark,lowercase,AAB_CBBC,p,✅,input/joined_seq/41.txt,,
False,True,a question mark,lowercase,aab__cbbbc,p,✅,input/joined_seq/41.txt,,
False,True,a question mark,lowercase,AAB__CBBC,p,✅,input/joined_seq/41.txt,,
False,True,a question mark,lowercase,aab______cbbbc,p,✅,input/joined_seq/41.txt,,
False,True,a question mark,lowercase,AAB______CBBC,p,✅,input/joined_seq/41.txt,,
False,True,a question mark,lowercase,aab?cbbbc,p,✅,input/joined_seq/41.txt,,
False,True,a question mark,lowercase,AAB?CBBC,p,✅,input/joined_seq/41.txt,,
False,True,a question mark,lowercase,aab+cbbbc,p,✅,input/joined_seq/41.txt,,
False,True,a question mark,lowercase,AAB+CBBC,p,✅,input/joined_seq/41.txt,,
False,True,a question mark,lowercase,aab-cbbbc,p,✅,input/joined_seq/41.txt,,
False,True,a question mark,lowercase,AAB-CBBC,p,✅,input/joined_seq/41.txt,,
