double_class,triple_class,input,result,result_emojis,model_output,model_input,expected,actual
vowel (lower-case or upper-case),question mark,?,p,✅,outputs/double_letters/53/0.py,input/double_letters/53.txt,,
vowel (lower-case or upper-case),question mark,!!!!!,p,✅,outputs/double_letters/53/0.py,input/double_letters/53.txt,,
vowel (lower-case or upper-case),question mark,AAAaaaaaAAAA,p,✅,outputs/double_letters/53/0.py,input/double_letters/53.txt,,
vowel (lower-case or upper-case),question mark,1A2B3C!,p,✅,outputs/double_letters/53/0.py,input/double_letters/53.txt,,
vowel (lower-case or upper-case),consonant (lower-case or upper-case),aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/55/0.py,input/double_letters/55.txt,,
vowel (lower-case or upper-case),consonant (lower-case or upper-case),???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/55/0.py,input/double_letters/55.txt,,
vowel (lower-case or upper-case),consonant (lower-case or upper-case),A?,p,✅,outputs/double_letters/55/0.py,input/double_letters/55.txt,,
vowel (lower-case or upper-case),consonant (lower-case or upper-case),?,p,✅,outputs/double_letters/55/0.py,input/double_letters/55.txt,,
vowel (lower-case or upper-case),consonant (lower-case or upper-case),!!!!!,p,✅,outputs/double_letters/55/0.py,input/double_letters/55.txt,,
vowel (lower-case or upper-case),consonant (lower-case or upper-case),AAAaaaaaAAAA,p,✅,outputs/double_letters/55/0.py,input/double_letters/55.txt,,
vowel (lower-case or upper-case),consonant (lower-case or upper-case),1A2B3C!,p,✅,outputs/double_letters/55/0.py,input/double_letters/55.txt,,
consonant (lower-case or upper-case),number,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/57/0.py,input/double_letters/57.txt,,
consonant (lower-case or upper-case),number,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/57/0.py,input/double_letters/57.txt,,
consonant (lower-case or upper-case),number,A?,p,✅,outputs/double_letters/57/0.py,input/double_letters/57.txt,,
consonant (lower-case or upper-case),number,?,p,✅,outputs/double_letters/57/0.py,input/double_letters/57.txt,,
consonant (lower-case or upper-case),number,!!!!!,p,✅,outputs/double_letters/57/0.py,input/double_letters/57.txt,,
consonant (lower-case or upper-case),number,AAAaaaaaAAAA,p,✅,outputs/double_letters/57/0.py,input/double_letters/57.txt,,
consonant (lower-case or upper-case),number,1A2B3C!,p,✅,outputs/double_letters/57/0.py,input/double_letters/57.txt,,
consonant (lower-case or upper-case),exclamation point,aaaAB1!1kf!kd3?f3fk?lk3,f,❌,outputs/double_letters/60/0.py,input/double_letters/60.txt,'aaaABB1!!!1kkff!!!kkdd3?ff3ffkk?llkk3','aaaABB11!!!11kkff!!!kkdd33??ff33ffkk??llkk33'
consonant (lower-case or upper-case),exclamation point,???!!!!ABCdefg1234aaaee,f,❌,outputs/double_letters/60/0.py,input/double_letters/60.txt,'???!!!!!!!!!!!!ABBCCddeffgg1234aaaee','??????!!!!!!!!!!!!ABBCCddeffgg11223344aaaee'
consonant (lower-case or upper-case),exclamation point,A?,f,❌,outputs/double_letters/60/0.py,input/double_letters/60.txt,'A?','A??'
consonant (lower-case or upper-case),exclamation point,?,f,❌,outputs/double_letters/60/0.py,input/double_letters/60.txt,'?','??'
consonant (lower-case or upper-case),exclamation point,!!!!!,p,✅,outputs/double_letters/60/0.py,input/double_letters/60.txt,,
consonant (lower-case or upper-case),exclamation point,AAAaaaaaAAAA,p,✅,outputs/double_letters/60/0.py,input/double_letters/60.txt,,
consonant (lower-case or upper-case),exclamation point,1A2B3C!,f,❌,outputs/double_letters/60/0.py,input/double_letters/60.txt,'1A2BB3CC!!!','11A22BB33CC!!!'
consonant (lower-case or upper-case),question mark,aaaAB1!1kf!kd3?f3fk?lk3,f,❌,outputs/double_letters/61/0.py,input/double_letters/61.txt,'aaaABB1!1kkff!kkdd3???ff3ffkk???llkk3','aaaAB1!1kkff!kkdd3???ff3ffkk???llkk3'
consonant (lower-case or upper-case),question mark,???!!!!ABCdefg1234aaaee,f,❌,outputs/double_letters/61/0.py,input/double_letters/61.txt,'?????????!!!!ABBCCddeffgg1234aaaee','?????????!!!!ABCddeffgg1234aaaee'
consonant (lower-case or upper-case),question mark,A?,p,✅,outputs/double_letters/61/0.py,input/double_letters/61.txt,,
consonant (lower-case or upper-case),question mark,?,p,✅,outputs/double_letters/61/0.py,input/double_letters/61.txt,,
consonant (lower-case or upper-case),question mark,!!!!!,p,✅,outputs/double_letters/61/0.py,input/double_letters/61.txt,,
consonant (lower-case or upper-case),question mark,AAAaaaaaAAAA,p,✅,outputs/double_letters/61/0.py,input/double_letters/61.txt,,
consonant (lower-case or upper-case),question mark,1A2B3C!,f,❌,outputs/double_letters/61/0.py,input/double_letters/61.txt,'1A2BB3CC!','1A2B3C!'
consonant (lower-case or upper-case),vowel (lower-case or upper-case),aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/62/0.py,input/double_letters/62.txt,,
consonant (lower-case or upper-case),vowel (lower-case or upper-case),???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/62/0.py,input/double_letters/62.txt,,
consonant (lower-case or upper-case),vowel (lower-case or upper-case),A?,p,✅,outputs/double_letters/62/0.py,input/double_letters/62.txt,,
consonant (lower-case or upper-case),vowel (lower-case or upper-case),?,p,✅,outputs/double_letters/62/0.py,input/double_letters/62.txt,,
consonant (lower-case or upper-case),vowel (lower-case or upper-case),!!!!!,p,✅,outputs/double_letters/62/0.py,input/double_letters/62.txt,,
consonant (lower-case or upper-case),vowel (lower-case or upper-case),AAAaaaaaAAAA,p,✅,outputs/double_letters/62/0.py,input/double_letters/62.txt,,
consonant (lower-case or upper-case),vowel (lower-case or upper-case),1A2B3C!,p,✅,outputs/double_letters/62/0.py,input/double_letters/62.txt,,
