small_ret,large_ret,default_ret,small_limit,large_limit,result_emojis,result,model_input,failed_inputs,errors
mouse,large,None,-100,2000,❌❌❌❌❌❌✅✅,ffffffpp,input/incoder/small_or_large/307.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
mouse,large,None,2,15,✅✅✅❌✅✅✅✅,pppfpppp,input/incoder/small_or_large/310.txt,"[[""'None'"", ""None""]]",[]
mouse,large,None,2,2000,✅✅✅❌❌❌✅✅,pppfffpp,input/incoder/small_or_large/311.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
mouse,large,None,10,15,✅✅✅❌✅✅✅✅,pppfpppp,input/incoder/small_or_large/314.txt,"[[""'None'"", ""None""]]",[]
mouse,large,None,10,2000,✅✅✅❌❌❌✅✅,pppfffpp,input/incoder/small_or_large/315.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
mouse,large,None,1000,2000,✅✅✅✅✅❌✅✅,pppppfpp,input/incoder/small_or_large/319.txt,"[[""'None'"", ""None""]]",[]
mouse,large,neither,-100,-1,❌✅❌❌❌❌❌❌,fpffffff,input/incoder/small_or_large/320.txt,"[[""'neither'"", ""'large'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""]]",[]
mouse,large,neither,-100,2,❌❌❌✅✅✅✅✅,fffppppp,input/incoder/small_or_large/321.txt,"[[""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""]]",[]
mouse,large,neither,-100,15,❌❌❌❌✅✅✅✅,ffffpppp,input/incoder/small_or_large/322.txt,"[[""'neither'"", ""'mouse'""], [""'neither'"", ""'mouse'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""]]",[]
mouse,large,neither,-100,2000,❌❌❌❌❌❌✅✅,ffffffpp,input/incoder/small_or_large/323.txt,"[[""'neither'"", ""'mouse'""], [""'neither'"", ""'mouse'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""]]",[]
mouse,large,neither,2,15,✅✅✅❌✅✅✅✅,pppfpppp,input/incoder/small_or_large/326.txt,"[[""'neither'"", ""'small'""]]",[]
mouse,large,neither,2,2000,✅✅✅❌❌❌✅✅,pppfffpp,input/incoder/small_or_large/327.txt,"[[""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""]]",[]
mouse,large,neither,10,15,✅✅✅❌✅✅✅✅,pppfpppp,input/incoder/small_or_large/330.txt,"[[""'neither'"", ""'small'""]]",[]
mouse,large,neither,10,2000,✅✅✅❌❌❌✅✅,pppfffpp,input/incoder/small_or_large/331.txt,"[[""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""]]",[]
mouse,large,neither,1000,2000,✅✅✅✅✅❌✅✅,pppppfpp,input/incoder/small_or_large/335.txt,"[[""'neither'"", ""'small'""]]",[]
mouse,small,,-100,-1,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/336.txt,"[[""None"", ""'mouse'""], [""'small'"", ""'mouse'""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""]]",[]
mouse,small,,-100,2,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/337.txt,"[[""None"", ""'mouse'""], [""None"", ""'mouse'""], [""None"", ""'small'""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""]]",[]
mouse,small,,-100,15,❌❌✅✅✅✅✅✅,ffpppppp,input/incoder/small_or_large/338.txt,"[[""None"", ""'mouse'""], [""None"", ""'mouse'""]]",[]
mouse,small,,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/339.txt,[],[]
mouse,small,,2,15,✅✅✅✅❌❌❌❌,ppppffff,input/incoder/small_or_large/342.txt,"[[""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
mouse,small,,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/343.txt,[],[]
mouse,small,,10,15,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/346.txt,[],[]
mouse,small,,10,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/347.txt,[],[]
mouse,small,,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/351.txt,[],[]
mouse,small,None,-100,-1,❌❌✅✅✅✅✅✅,ffpppppp,input/incoder/small_or_large/352.txt,"[[""'None'"", ""'mouse'""], [""'small'"", ""'mouse'""]]",[]
mouse,small,None,-100,2,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/353.txt,"[[""'None'"", ""'mouse'""], [""'None'"", ""'mouse'""], [""'None'"", ""'small'""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""]]",[]
mouse,small,None,-100,15,❌❌❌❌✅✅✅✅,ffffpppp,input/incoder/small_or_large/354.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
mouse,small,None,-100,2000,❌❌❌❌❌❌✅✅,ffffffpp,input/incoder/small_or_large/355.txt,"[[""'None'"", ""'mouse'""], [""'None'"", ""'mouse'""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
mouse,small,None,2,15,✅✅✅❌❌❌❌❌,pppfffff,input/incoder/small_or_large/358.txt,"[[""'None'"", ""None""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
mouse,small,None,2,2000,✅✅✅❌❌❌❌❌,pppfffff,input/incoder/small_or_large/359.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
mouse,small,None,10,15,✅✅✅❌❌❌❌❌,pppfffff,input/incoder/small_or_large/362.txt,"[[""'None'"", ""None""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
mouse,small,None,10,2000,✅✅✅❌❌❌❌❌,pppfffff,input/incoder/small_or_large/363.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
mouse,small,None,1000,2000,✅✅✅✅✅❌✅✅,pppppfpp,input/incoder/small_or_large/367.txt,"[[""'None'"", ""None""]]",[]
mouse,small,neither,-100,-1,❌❌❌✅✅✅✅✅,fffppppp,input/incoder/small_or_large/368.txt,"[[""'neither'"", ""'mouse'""], [""'small'"", ""'mouse'""], [""'small'"", ""'large'""]]",[]
mouse,small,neither,-100,2,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/369.txt,"[[""'neither'"", ""'mouse'""], [""'neither'"", ""'mouse'""], [""'neither'"", ""'small'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
mouse,small,neither,-100,15,❌❌❌❌✅✅✅✅,ffffpppp,input/incoder/small_or_large/370.txt,"[[""'neither'"", ""'large'""], [""'neither'"", ""'large'""], [""'neither'"", ""'large'""], [""'neither'"", ""'large'""]]",[]
mouse,small,neither,-100,2000,❌❌❌❌❌❌✅✅,ffffffpp,input/incoder/small_or_large/371.txt,"[[""'neither'"", ""'large'""], [""'neither'"", ""'large'""], [""'neither'"", ""'large'""], [""'neither'"", ""'large'""], [""'neither'"", ""'large'""], [""'neither'"", ""'large'""]]",[]
mouse,small,neither,2,15,✅✅✅❌✅✅✅✅,pppfpppp,input/incoder/small_or_large/374.txt,"[[""'neither'"", ""'large'""]]",[]
mouse,small,neither,2,2000,✅✅✅❌❌❌✅✅,pppfffpp,input/incoder/small_or_large/375.txt,"[[""'neither'"", ""'large'""], [""'neither'"", ""'large'""], [""'neither'"", ""'large'""]]",[]
mouse,small,neither,10,15,✅✅✅❌✅✅✅✅,pppfpppp,input/incoder/small_or_large/378.txt,"[[""'neither'"", ""'large'""]]",[]
mouse,small,neither,10,2000,✅✅✅❌❌❌✅✅,pppfffpp,input/incoder/small_or_large/379.txt,"[[""'neither'"", ""'large'""], [""'neither'"", ""'large'""], [""'neither'"", ""'large'""]]",[]
mouse,small,neither,1000,2000,✅✅✅✅✅❌✅✅,pppppfpp,input/incoder/small_or_large/383.txt,"[[""'neither'"", ""'large'""]]",[]
mouse,house,,-100,-1,❌❌❌✅✅✅✅✅,fffppppp,input/incoder/small_or_large/384.txt,"[[""None"", ""'mouse'""], [""'house'"", ""'mouse'""], [""'house'"", ""None""]]",[]
mouse,house,,-100,2,❌❌✅✅✅✅✅✅,ffpppppp,input/incoder/small_or_large/385.txt,"[[""None"", ""'mouse'""], [""None"", ""'mouse'""]]",[]
mouse,house,,-100,15,❌❌✅✅✅✅✅✅,ffpppppp,input/incoder/small_or_large/386.txt,"[[""None"", ""'mouse'""], [""None"", ""'mouse'""]]",[]
mouse,house,,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/387.txt,[],[]
mouse,house,,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/390.txt,[],[]
mouse,house,,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/391.txt,[],[]
mouse,house,,10,15,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/394.txt,[],[]
mouse,house,,10,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/395.txt,[],[]
mouse,house,,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/399.txt,[],[]
mouse,house,None,-100,-1,❌❌✅✅✅✅✅✅,ffpppppp,input/incoder/small_or_large/400.txt,"[[""'None'"", ""'mouse'""], [""'house'"", ""'mouse'""]]",[]
mouse,house,None,-100,2,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/401.txt,"[[""'None'"", ""'mouse'""], [""'None'"", ""'mouse'""], [""'None'"", ""'house'""], [""'house'"", ""None""], [""'house'"", ""None""], [""'house'"", ""None""], [""'house'"", ""None""], [""'house'"", ""None""]]",[]
mouse,house,None,-100,15,❌❌❌❌✅✅✅✅,ffffpppp,input/incoder/small_or_large/402.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
mouse,house,None,-100,2000,❌❌❌❌❌❌✅✅,ffffffpp,input/incoder/small_or_large/403.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
mouse,house,None,2,15,✅✅✅❌✅✅✅✅,pppfpppp,input/incoder/small_or_large/406.txt,"[[""'None'"", ""None""]]",[]
mouse,house,None,2,2000,✅✅✅❌❌❌✅✅,pppfffpp,input/incoder/small_or_large/407.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
mouse,house,None,10,15,✅✅✅❌✅✅✅✅,pppfpppp,input/incoder/small_or_large/410.txt,"[[""'None'"", ""None""]]",[]
mouse,house,None,10,2000,✅✅✅❌❌❌✅✅,pppfffpp,input/incoder/small_or_large/411.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
mouse,house,None,1000,2000,✅✅✅✅✅❌✅✅,pppppfpp,input/incoder/small_or_large/415.txt,"[[""'None'"", ""None""]]",[]
mouse,house,neither,-100,-1,❌❌❌✅✅✅✅✅,fffppppp,input/incoder/small_or_large/416.txt,"[[""'neither'"", ""'mouse'""], [""'house'"", ""'mouse'""], [""'house'"", ""'none'""]]",[]
mouse,house,neither,-100,2,❌❌❌✅✅✅✅✅,fffppppp,input/incoder/small_or_large/417.txt,"[[""'neither'"", ""'none'""], [""'neither'"", ""'none'""], [""'neither'"", ""'none'""]]",[]
mouse,house,neither,-100,15,❌❌❌❌✅✅✅✅,ffffpppp,input/incoder/small_or_large/418.txt,"[[""'neither'"", ""'mouse'""], [""'neither'"", ""'mouse'""], [""'neither'"", ""'none'""], [""'neither'"", ""'none'""]]",[]
mouse,house,neither,-100,2000,❌❌❌❌❌❌✅✅,ffffffpp,input/incoder/small_or_large/419.txt,"[[""'neither'"", ""'none'""], [""'neither'"", ""'none'""], [""'neither'"", ""'none'""], [""'neither'"", ""'none'""], [""'neither'"", ""'none'""], [""'neither'"", ""'none'""]]",[]
mouse,house,neither,2,15,✅✅✅❌✅✅✅✅,pppfpppp,input/incoder/small_or_large/422.txt,"[[""'neither'"", ""'none'""]]",[]
mouse,house,neither,2,2000,✅✅✅❌❌❌✅✅,pppfffpp,input/incoder/small_or_large/423.txt,"[[""'neither'"", ""'none'""], [""'neither'"", ""'none'""], [""'neither'"", ""'none'""]]",[]
mouse,house,neither,10,15,✅✅✅❌✅✅✅✅,pppfpppp,input/incoder/small_or_large/426.txt,"[[""'neither'"", ""'none'""]]",[]
mouse,house,neither,10,2000,✅✅✅❌❌❌✅✅,pppfffpp,input/incoder/small_or_large/427.txt,"[[""'neither'"", ""'none'""], [""'neither'"", ""'none'""], [""'neither'"", ""'none'""]]",[]
mouse,house,neither,1000,2000,✅✅✅✅✅❌✅✅,pppppfpp,input/incoder/small_or_large/431.txt,"[[""'neither'"", ""'none'""]]",[]
